cpu_mark,cpu_cores,cpu_clock,cpu_smt,cpu_tdp,thread_mark,g3d_mark,gpu_vram,gpu_tdp,gpu_g2d,label,match
34243,12,3.6,1,190,4001,22121,16,250,983,1440p_120-144,1
4829,2,4.1,1,51,2507,26728,16,300,1048,1440p_144+,0
3870,4,3.1,0,95,1578,12717,6,125,805,1440p_60,0
14066,4,3.3,1,58,3456,38421,24,450,1295,4k_144+,0
31402,14,2.6,1,65,4008,16895,12,170,960,1440p_60,1
46208,24,2.0,1,65,4312,31060,24,355,1240,4k_120-144,1
58842,24,3.0,1,125,4614,31747,12,285,1195,4k_120-144,1
33982,16,2.4,1,65,4028,31747,12,285,1195,1080p_144+,0
3870,4,3.1,0,95,1578,19752,8,115,1083,1080p_144+,0
58010,24,3.0,1,125,4597,38421,24,450,1295,4k_144+,1
21674,6,4.1,1,65,3896,26969,12,200,1159,1440p_144+,0
20872,8,2.5,1,65,3278,25180,10,320,1049,1080p_60,0
26850,6,3.7,1,65,3842,12714,8,130,925,1440p_60,1
27664,10,3.7,1,150,3935,14128,6,160,748,1080p_120-144,1
51524,12,4.7,1,170,4245,20416,8,200,988,1440p_144+,0
30611,12,2.1,1,65,3896,20416,8,200,988,4k_60,1
19350,6,3.6,1,65,3056,8788,4,150,740,1080p_60,1
58970,24,3.2,1,125,4696,34556,16,320,1234,4k_120-144,1
22466,10,3.7,1,165,2674,9554,4,107,808,1080p_60,1
25664,10,2.5,1,148,3709,12714,8,130,925,1440p_60,1
42152,20,2.1,1,65,4271,12714,8,130,925,1440p_60,0
38713,16,2.1,1,65,4125,26678,24,350,1056,4k_60,1
17498,8,3.7,1,105,2420,38421,24,450,1295,4k_144+,0
9293,4,3.7,1,65,2688,16895,12,170,960,1440p_60,0
24844,8,3.5,1,125,3533,27007,12,350,1088,1080p_120-144,0
28455,6,4.7,1,105,4139,12717,6,125,805,1080p_120-144,1
50414,12,4.4,1,120,4132,16895,12,170,960,4k_120-144,0
61286,24,3.0,1,150,4734,38421,24,450,1295,4k_144+,1
36108,16,2.4,1,65,4029,19752,8,115,1083,1080p_144+,1
42746,24,1.1,1,35,4178,28889,20,315,1203,1440p_144+,1
61286,24,3.0,1,150,4734,38421,24,450,1295,4k_144+,1
34243,12,3.6,1,190,4001,20416,8,200,988,4k_60,1
37783,14,3.5,1,125,4131,19752,8,115,1083,1080p_144+,1
42243,20,2.1,1,65,4258,22292,8,220,998,4k_60,1
41369,16,3.2,1,241,4148,31747,12,285,1195,4k_60,0
58010,24,3.0,1,125,4597,38421,24,450,1295,4k_144+,1
58842,24,3.0,1,125,4614,26969,12,200,1159,4k_144+,0
58842,24,3.0,1,125,4614,38421,24,450,1295,4k_144+,1
26850,6,3.7,1,65,3842,38421,24,450,1295,4k_144+,0
18011,6,2.8,1,65,3293,9779,3,120,771,1080p_60,1
31402,14,2.6,1,65,4008,19828,12,230,943,4k_60,1
9395,6,2.9,0,65,2435,12714,8,130,925,1080p_120-144,0
15377,4,3.5,1,110,3793,9554,4,107,808,1080p_60,1
24477,8,3.6,1,125,3396,12714,8,130,925,1440p_60,1
58010,24,3.0,1,125,4597,38421,24,450,1295,4k_144+,1
34243,12,3.6,1,190,4001,31060,24,355,1240,1080p_144+,0
13259,4,3.3,1,60,3374,26728,16,300,1048,1080p_60,0
50476,24,2.0,1,65,4412,38421,24,450,1295,4k_144+,1
31402,14,2.6,1,65,4008,9554,4,107,808,1440p_60,0
18693,8,3.8,1,125,3046,22726,8,160,1077,1080p_60,0
20872,8,2.5,1,65,3278,14128,6,160,748,1080p_120-144,1
23050,14,1.6,1,35,3604,14128,6,160,748,1080p_120-144,1
10648,6,3.7,0,95,2733,38421,24,450,1295,1080p_60,0
46719,24,2.0,1,65,4423,31747,12,285,1195,4k_120-144,1
38713,16,2.1,1,65,4125,22292,8,220,998,1440p_120-144,1
58010,24,3.0,1,125,4597,31747,12,285,1195,4k_144+,0
12924,4,2.5,1,35,3423,20416,8,200,988,1080p_60,0
10170,6,3.6,0,95,2583,9108,8,130,774,1080p_60,1
10170,6,3.6,0,95,2583,25180,10,320,1049,1440p_120-144,0
53404,20,3.4,1,125,4498,38421,24,450,1295,4k_144+,1
26330,8,3.0,1,105,2971,11659,6,120,777,1080p_120-144,1
13180,6,3.4,1,65,2242,27007,12,350,1088,1080p_60,0
34555,8,3.6,1,65,4065,9554,4,107,808,1080p_60,0
18693,8,3.8,1,125,3046,31060,24,355,1240,1080p_60,0
22499,8,3.6,1,65,2658,14128,6,160,748,1080p_120-144,1
23878,8,3.6,1,125,3376,11659,6,120,777,1080p_120-144,1
19556,6,3.9,1,125,3347,9554,4,107,808,1080p_60,1
24477,8,3.6,1,125,3396,26678,24,350,1056,1080p_120-144,0
6544,6,3.2,1,130,1468,26728,16,300,1048,1440p_144+,0
19251,6,2.5,1,65,3506,7647,4,53,715,1080p_60,1
8631,4,3.6,1,65,2609,16895,12,170,960,1440p_60,0
43912,16,3.4,1,150,4338,20416,8,200,988,1440p_120-144,1
50414,12,4.4,1,120,4132,27007,12,350,1088,1440p_144+,1
46208,24,2.0,1,65,4312,26728,16,300,1048,1440p_144+,1
2780,2,3.5,0,58,2161,28130,16,335,1049,4k_120-144,0
13263,8,3.0,0,65,2769,22292,8,220,998,1080p_60,0
58842,24,3.0,1,125,4614,38421,24,450,1295,4k_144+,1
38713,16,2.1,1,65,4125,26728,16,300,1048,1080p_144+,0
15377,4,3.5,1,110,3793,17172,8,176,913,1440p_60,0
58842,24,3.0,1,125,4614,38421,24,450,1295,4k_144+,1
19862,6,3.0,1,65,3678,23468,8,290,1049,1080p_60,0
51524,12,4.7,1,170,4245,25180,10,320,1049,4k_120-144,0
