name,image,url,size,offers
Chieftec CS-12B-300 MicroATX Mini Tower Case w/300 W Power Supply (CS-12B-300),https://m.media-amazon.com/images/I/41CFQq-96WL.jpg,https://pcpartpicker.com/product/LxHqqs/chieftec-cs-12b-300-microatx-mini-tower-case-w300-w-power-supply-cs-12b-300,MicroATX,"[{""retailer"": ""reichelt.de"", ""price"": ""99"", ""url"": ""https://www.gputracker.eu/si-click/7/3547951/cft-cs-12b-300-chieftec-mesh-cs-12b-300-matx-gehau""}]"
be quiet! Pure Base 500DX ATX Mid Tower Case (BGW37),https://cdna.pcpartpicker.com/static/forever/images/product/f0f421e3fc3867493483981e8171cdc6.256p.jpg,https://pcpartpicker.com/product/FCK2FT/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw37,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""97"", ""url"": ""https://www.gputracker.eu/si-click/7/395436/bqt-bgw38-be-quiet-pure-base-500dx-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""102"", ""url"": ""https://www.gputracker.eu/si-click/7/3639156/be-quiet-pure-base-500dx-wei-midi-tower-gaming-geh""}, {""retailer"": ""reichelt.de"", ""price"": ""104"", ""url"": ""https://www.gputracker.eu/si-click/7/395435/bqt-bgw37-be-quiet-pure-base-500dx-black""}, {""retailer"": ""ldlc.com"", ""price"": ""120"", ""url"": ""https://www.gputracker.eu/si-click/7/384204/be-quiet-pure-base-500dx-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""145"", ""url"": ""https://www.gputracker.eu/si-click/7/2764273/be-quiet-pure-base-500dx-noir""}]"
be quiet! Pure Base 500DX ATX Mid Tower Case (BGW38),https://cdna.pcpartpicker.com/static/forever/images/product/d0088af61ff05d2f1e8ec07eeb4f7aee.256p.jpg,https://pcpartpicker.com/product/3W6qqs/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw38,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""97"", ""url"": ""https://www.gputracker.eu/si-click/7/395436/bqt-bgw38-be-quiet-pure-base-500dx-white""}, {""retailer"": ""computeruniverse.net"", ""price"": ""102"", ""url"": ""https://www.gputracker.eu/si-click/7/3639156/be-quiet-pure-base-500dx-wei-midi-tower-gaming-geh""}, {""retailer"": ""reichelt.de"", ""price"": ""104"", ""url"": ""https://www.gputracker.eu/si-click/7/395435/bqt-bgw37-be-quiet-pure-base-500dx-black""}, {""retailer"": ""ldlc.com"", ""price"": ""120"", ""url"": ""https://www.gputracker.eu/si-click/7/384204/be-quiet-pure-base-500dx-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""145"", ""url"": ""https://www.gputracker.eu/si-click/7/2764273/be-quiet-pure-base-500dx-noir""}]"
Fractal Design Node 304 Mini ITX Tower Case (FD-CA-NODE-304-BL),https://cdna.pcpartpicker.com/static/forever/images/product/d4601be3b89341d6b9f38bdcea9a54c1.256p.jpg,https://pcpartpicker.com/product/BWFPxr/fractal-design-case-fdcanode304bl,ITX,"[{""retailer"": ""reichelt.de"", ""price"": ""96"", ""url"": ""https://www.gputracker.eu/si-click/7/395418/fd-ca-n304b-fractal-design-mini-tower-node-304-sch""}]"
Fractal Design Node 304 Mini ITX Tower Case (FD-CA-NODE-304-WH),https://m.media-amazon.com/images/I/41a62hgxGqL.jpg,https://pcpartpicker.com/product/VMLypg/fractal-design-case-fdcanode304wh,ITX,"[{""retailer"": ""reichelt.de"", ""price"": ""96"", ""url"": ""https://www.gputracker.eu/si-click/7/395418/fd-ca-n304b-fractal-design-mini-tower-node-304-sch""}]"
Chieftec BE-10B-300 MicroATX Mini Tower Case w/300 W Power Supply (BE-10B-300),https://cdna.pcpartpicker.com/static/forever/images/product/2b057bf8a00c7f008723bd6cb67634be.256p.jpg,https://pcpartpicker.com/product/ZdHqqs/chieftec-be-10b-300-microatx-mini-tower-case-w300-w-power-supply-be-10b-300,MicroATX,"[{""retailer"": ""reichelt.de"", ""price"": ""92"", ""url"": ""https://www.gputracker.eu/si-click/7/1686161/cft-be-10b-300-chieftec-uni-serie-be-10b-300-inkl-""}]"
Inter-Tech SC-4100 Mini ITX Desktop Case (88887112),https://m.media-amazon.com/images/I/41xV4OzdkVL.jpg,https://pcpartpicker.com/product/kd4Ycf/inter-tech-sc-4100-mini-itx-desktop-case-88887112,ITX,"[{""retailer"": ""reichelt.de"", ""price"": ""86"", ""url"": ""https://www.gputracker.eu/si-click/7/3547938/it88887112-inter-tech-mini-itx-cube-ipc-sc-4100""}]"
Chieftec UE-02B MicroATX Mini Tower Case (UE-02B),https://m.media-amazon.com/images/I/31oInMtYmZL.jpg,https://pcpartpicker.com/product/GMV2FT/chieftec-ue-02b-microatx-mini-tower-case-ue-02b,MicroATX,"[{""retailer"": ""reichelt.de"", ""price"": ""86"", ""url"": ""https://www.gputracker.eu/si-click/7/3547928/cft-ue-02b-chieftec-uni-serie-ue-02b-m-atx-gehause""}]"
Lian Li LANCOOL 205 Mesh C ATX Mid Tower Case (G99.OE764CX.00AM),https://m.media-amazon.com/images/I/41EFURt04PL.jpg,https://pcpartpicker.com/product/CrzhP6/lian-li-lancool-205-mesh-c-atx-mid-tower-case-g99oe764cx00am,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""70"", ""url"": ""https://www.gputracker.eu/si-click/7/3704296/lian-205m-mb-lian-li-lancool-205m-mesh-micro-atx-s""}, {""retailer"": ""reichelt.de"", ""price"": ""80"", ""url"": ""https://www.gputracker.eu/si-click/7/3709380/lian-cool205snow-lian-li-lancool-205m-mesh-micro-a""}, {""retailer"": ""reichelt.de"", ""price"": ""90"", ""url"": ""https://www.gputracker.eu/si-click/7/3709385/lian-cool205me-lian-li-lancool-205-mesh-c-midi-tow""}, {""retailer"": ""ldlc.com"", ""price"": ""90"", ""url"": ""https://www.gputracker.eu/si-click/7/2336743/lian-li-lancool-205-mesh-c-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""90"", ""url"": ""https://www.gputracker.eu/si-click/7/2336744/lian-li-lancool-205-mesh-c-noir""}, {""retailer"": ""reichelt.de"", ""price"": ""105"", ""url"": ""https://www.gputracker.eu/si-click/7/3709388/lian-cool205me-1-lian-li-lancool-205-mesh-c-midi-t""}]"
Lian Li LANCOOL 205 Mesh C ATX Mid Tower Case (G99.OE764CP.00AM),https://m.media-amazon.com/images/I/419e+KJh3QL.jpg,https://pcpartpicker.com/product/s87G3C/lian-li-lancool-205-mesh-c-atx-mid-tower-case-g99oe764cp00am,ATX,"[{""retailer"": ""reichelt.de"", ""price"": ""70"", ""url"": ""https://www.gputracker.eu/si-click/7/3704296/lian-205m-mb-lian-li-lancool-205m-mesh-micro-atx-s""}, {""retailer"": ""reichelt.de"", ""price"": ""80"", ""url"": ""https://www.gputracker.eu/si-click/7/3709380/lian-cool205snow-lian-li-lancool-205m-mesh-micro-a""}, {""retailer"": ""reichelt.de"", ""price"": ""90"", ""url"": ""https://www.gputracker.eu/si-click/7/3709385/lian-cool205me-lian-li-lancool-205-mesh-c-midi-tow""}, {""retailer"": ""ldlc.com"", ""price"": ""90"", ""url"": ""https://www.gputracker.eu/si-click/7/2336743/lian-li-lancool-205-mesh-c-blanc""}, {""retailer"": ""ldlc.com"", ""price"": ""90"", ""url"": ""https://www.gputracker.eu/si-click/7/2336744/lian-li-lancool-205-mesh-c-noir""}, {""retailer"": ""reichelt.de"", ""price"": ""105"", ""url"": ""https://www.gputracker.eu/si-click/7/3709388/lian-cool205me-1-lian-li-lancool-205-mesh-c-midi-t""}]"
