name,product_code,brand,image,url,socket,size,ram_slots,ram_type
Asus TUF Z270 MARK 1 ATX LGA1151 Motherboard (Z270 MK1),Z270 MK1,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/7ad7ed45c50c1b923197ede3a064ea92.256p.jpg,https://pcpartpicker.com/product/jTVBD3/asus-tuf-z270-mark-1-atx-lga1151-motherboard-z270-mk1,LGA 1151,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (ECC+Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte GA-B250M-EVO (rev. 1.0) Micro ATX LGA1151 Motherboard (GA-B250M-EVO (rev. 1.0)),GA-B250M-EVO (rev. 1.0,Gigabyte,https://static/forever/img/no-image.png,https://pcpartpicker.com/product/Vn38TW/gigabyte-ga-b250m-evo-rev-10-micro-atx-lga1151-motherboard-ga-b250m-evo-rev-10,LGA 1151,MicroATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte H510M-S2H-V2-rev-13 Micro ATX LGA1200 Motherboard (H510M-S2H-V2-rev-13),H510M-S2H-V2-rev-13,Gigabyte,https://static/forever/img/no-image.png,https://pcpartpicker.com/product/cmVmP6/gigabyte-h510m-s2h-v2-rev-13-micro-atx-lga1200-motherboard-h510m-s2h-v2-rev-13,LGA 1200,ATX,"2x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
Gigabyte GA-B460M AORUS ELITE Micro ATX LGA1200 Motherboard (GA-B460M AORUS ELITE),GA-B460M AORUS ELITE,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/8bd5690f8f76b5fb27cfab0f3cbf6dc0.256p.jpg,https://pcpartpicker.com/product/kcn8TW/gigabyte-ga-b460m-aorus-elite-micro-atx-lga1200-motherboard-ga-b460m-aorus-elite,LGA 1200,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC)/​CUDIMM, max. 256GB (UDIMM), 256GB (CUDIMM)",DDR5
Asus Pro H510M-CT/CSM Micro ATX LGA1200 Motherboard (Pro H510M-CT/CSM),Pro H510M-CT/CSM,Asus,https://m.media-amazon.com/images/I/418H3DgepTS.jpg,https://pcpartpicker.com/product/kL7G3C/asus-pro-h510m-ctcsm-micro-atx-lga1200-motherboard-pro-h510m-ctcsm,LGA 1200,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (ECC+Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte Z790 AORUS ELITE AX ATX LGA1700 Motherboard (Z790 AORUS ELITE AX),Z790 AORUS ELITE AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/ba20600286bf8f74ce71df37ed8aef65.256p.jpg,https://pcpartpicker.com/product/T2H7YJ/gigabyte-z790-aorus-elite-ax-atx-lga1700-motherboard-z790-aorus-elite-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MAG Z790 TOMAHAWK WIFI ATX LGA1700 Motherboard (MAG Z790 TOMAHAWK WIFI),MAG Z790 TOMAHAWK WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/4776555bd90ed817bdfa00fc78ae3043.256p.jpg,https://pcpartpicker.com/product/9B2WGX/msi-mag-z790-tomahawk-wifi-atx-lga1700-motherboard-mag-z790-tomahawk-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
MSI PRO Z790-P WIFI ATX LGA1700 Motherboard (PRO Z790-P WIFI),PRO Z790-P WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/70392ffdd327f8c69ec493d66a257742.256p.jpg,https://pcpartpicker.com/product/k7mmP6/msi-pro-z790-p-wifi-atx-lga1700-motherboard-pro-z790-p-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
Asus ROG STRIX Z790-E GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX Z790-E GAMING WIFI),ROG STRIX Z790-E GAMING WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/79687dad482d6163f14752ea4764c5f2.256p.jpg,https://pcpartpicker.com/product/2YM48d/asus-rog-strix-z790-e-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-e-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus ROG MAXIMUS Z790 HERO ATX LGA1700 Motherboard (ROG MAXIMUS Z790 HERO),ROG MAXIMUS Z790 HERO,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/05e4de174a09d66930ef0706d0cec194.256p.jpg,https://pcpartpicker.com/product/LYM48d/asus-rog-maximus-z790-hero-atx-lga1700-motherboard-rog-maximus-z790-hero,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte B760 GAMING X AX ATX LGA1700 Motherboard (B760 GAMING X AX),B760 GAMING X AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/4d65b7ee40bd1e21573b5aa67d7ead85.256p.jpg,https://pcpartpicker.com/product/N6nypg/gigabyte-b760-gaming-x-ax-atx-lga1700-motherboard-b760-gaming-x-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Asus PRIME Z790-A WIFI ATX LGA1700 Motherboard (PRIME Z790-A WIFI),PRIME Z790-A WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/337ab1b8659caaac6b9b11ebd5d986ec.256p.jpg,https://pcpartpicker.com/product/fGrRsY/asus-prime-z790-a-wifi-atx-lga1700-motherboard-prime-z790-a-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
Gigabyte B760M AORUS ELITE AX Micro ATX LGA1700 Motherboard (B760M AORUS ELITE AX),B760M AORUS ELITE AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/cac6ebccacffa18aa88dd37be959b5c4.256p.jpg,https://pcpartpicker.com/product/wBfnTW/gigabyte-b760m-aorus-elite-ax-micro-atx-lga1700-motherboard-b760m-aorus-elite-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
MSI MPG Z790 EDGE WIFI ATX LGA1700 Motherboard (MPG Z790 EDGE WIFI),MPG Z790 EDGE WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/6cd8c884884b6665f368a5eb3149152c.256p.jpg,https://pcpartpicker.com/product/VHddnQ/msi-mpg-z790-edge-wifi-atx-lga1700-motherboard-mpg-z790-edge-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
Asus PRIME Z790-P WIFI ATX LGA1700 Motherboard (PRIME Z790-P WIFI),PRIME Z790-P WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/24ed1df0ae0ec819d9bd2f693f76c496.256p.jpg,https://pcpartpicker.com/product/nCGbt6/asus-prime-z790-p-wifi-atx-lga1700-motherboard-prime-z790-p-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5
NZXT N7 Z790 ATX LGA1700 Motherboard (N7-Z79XT-W1),N7-Z79XT-W1,NZXT,https://cdna.pcpartpicker.com/static/forever/images/product/46fcff37a9ae862aa21cc72913360550.256p.jpg,https://pcpartpicker.com/product/KT6p99/nzxt-n7-z790-atx-lga1700-motherboard-n7-z79xt-w1,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
MSI B760 GAMING PLUS WIFI ATX LGA1700 Motherboard (B760 GAMING PLUS WIFI),B760 GAMING PLUS WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/f22d681ccfd01238e756443a474f400b.256p.jpg,https://pcpartpicker.com/product/TxcgXL/msi-b760-gaming-plus-wifi-atx-lga1700-motherboard-b760-gaming-plus-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5
Asus ROG STRIX Z690-E GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX Z690-E GAMING WIFI),ROG STRIX Z690-E GAMING WIFI,Asus,https://m.media-amazon.com/images/I/415gDmtLY0L.jpg,https://pcpartpicker.com/product/MNWzK8/asus-rog-strix-z690-e-gaming-wifi-atx-lga1700-motherboard-rog-strix-z690-e-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 128GB (UDIMM)",DDR5
