name,image,url,type,size,offers
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CML16GX3M2A1600C10R),https://m.media-amazon.com/images/I/41n8FQH0c5L.jpg,https://pcpartpicker.com/product/qR7wrH/corsair-memory-cml16gx3m2a1600c10r,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMZ16GX3M2A1600C10),https://m.media-amazon.com/images/I/51epHDwf7lL.jpg,https://pcpartpicker.com/product/qdkD4D/corsair-memory-cmz16gx3m2a1600c10,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMZ16GX3M2A1600C10B),https://cdna.pcpartpicker.com/static/forever/images/product/3b4259c1175ba45378addb5bef73b905.256p.jpg,https://pcpartpicker.com/product/ryh9TW/corsair-memory-cmz16gx3m2a1600c10b,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMZ16GX3M2A1600C10R),https://m.media-amazon.com/images/I/612o8BItEnL.jpg,https://pcpartpicker.com/product/rYsKHx/corsair-memory-cmz16gx3m2a1600c10r,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMZ16GX3M2A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/a9e3167c32d0e44bd0dddcf7fcd9c356.256p.jpg,https://pcpartpicker.com/product/hPCwrH/corsair-memory-cmz16gx3m2a1600c9,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMZ16GX3M2A1600C9G),https://cdna.pcpartpicker.com/static/forever/images/product/2d8289c7091ef961fcf4f7c1b8bd2580.256p.jpg,https://pcpartpicker.com/product/mrNp99/corsair-memory-cmz16gx3m2a1600c9g,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (CML16GX3M4A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/4ae9fe737298d1d70d624ea70bd5049d.256p.jpg,https://pcpartpicker.com/product/BnR48d/corsair-memory-cml16gx3m4a1600c9,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (CML16GX3M4A1600C9B),https://cdna.pcpartpicker.com/static/forever/images/product/9aa454653c13ca682e3b143fd58ca3e7.256p.jpg,https://pcpartpicker.com/product/TcDwrH/corsair-memory-cml16gx3m4a1600c9b,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (CMZ16GX3M4A1600C9B),https://cdna.pcpartpicker.com/static/forever/images/product/2cd4475b3213faf4c95bcdce231fb76f.256p.jpg,https://pcpartpicker.com/product/VcDwrH/corsair-memory-cmz16gx3m4a1600c9b,DDR3,16,"[{""retailer"": ""ldlc.com"", ""price"": ""119"", ""url"": ""https://www.gputracker.eu/si-click/11/1874192/corsair-vengeance-series-16-go-2-x-8-go-ddr3-1600-""}]"
Corsair Vengeance 8 GB (1 x 8 GB) DDR3-1600 CL10 Memory (CMZ8GX3M1A1600C10),https://images-na.ssl-images-amazon.com/images/I/41sEUP%2B6A7L.jpg,https://pcpartpicker.com/product/bYjG3C/corsair-vengeance-8-gb-1-x-8-gb-ddr3-1600-cl10-memory-cmz8gx3m1a1600c10,DDR3,8,"[{""retailer"": ""ldlc.com"", ""price"": ""77"", ""url"": ""https://www.gputracker.eu/si-click/11/1874040/corsair-vengeance-low-profile-8-go-2x-4-go-ddr3-16""}]"
