name,image,url,type,space,offers
Samsung 970 Evo 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V7E250BW),https://cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,https://pcpartpicker.com/product/dkHRsY/samsung-970-evo-250gb-m2-2280-solid-state-drive-mz-v7e250bw,NVME,250,"[{""retailer"": ""reichelt.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/4/181052/mz-v7s250bw-samsung-ssd-970-evo-plus-250gb-m-2-nvm""}, {""retailer"": ""jacob.de"", ""price"": ""65"", ""url"": ""https://www.gputracker.eu/si-click/4/344863/samsung-970-evo-plus-nvme-m-2-ssd-250-gb-solid-sta""}, {""retailer"": ""jacob.de"", ""price"": ""103"", ""url"": ""https://www.gputracker.eu/si-click/4/913116/samsung-ssd-m-2-pci-e-nvme-970-evo-plus-mz-v7s250e""}]"
Samsung 980 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V8V250B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/d62d321c924e55fadd54e9316273b330.256p.jpg,https://pcpartpicker.com/product/VMbTwP/samsung-980-250-gb-m2-2280-nvme-solid-state-drive-mz-v8v250bam,NVME,250,"[{""retailer"": ""reichelt.de"", ""price"": ""47"", ""url"": ""https://www.gputracker.eu/si-click/4/1446083/mz-v8v250bw-samsung-ssd-980-250gb-m-2-nvme""}, {""retailer"": ""jacob.de"", ""price"": ""53"", ""url"": ""https://www.gputracker.eu/si-click/4/634686/samsung-980-pcie-3-0-nvme-m-2-ssd-250-gb-bis-zu-2-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""55"", ""url"": ""https://www.gputracker.eu/si-click/4/3640290/samsung-980-interne-nvme-ssd-250-gb-m-2-2280-pcie-""}, {""retailer"": ""ldlc.com"", ""price"": ""60"", ""url"": ""https://www.gputracker.eu/si-click/4/633961/samsung-ssd-980-m-2-pcie-nvme-250-go""}]"
Samsung 970 Evo Plus 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V7S250B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg,https://pcpartpicker.com/product/BDYLrH/samsung-970-evo-plus-250-gb-m2-2280-nvme-solid-state-drive-mz-v7s250bam,NVME,250,"[{""retailer"": ""reichelt.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/4/181052/mz-v7s250bw-samsung-ssd-970-evo-plus-250gb-m-2-nvm""}, {""retailer"": ""jacob.de"", ""price"": ""65"", ""url"": ""https://www.gputracker.eu/si-click/4/344863/samsung-970-evo-plus-nvme-m-2-ssd-250-gb-solid-sta""}, {""retailer"": ""jacob.de"", ""price"": ""103"", ""url"": ""https://www.gputracker.eu/si-click/4/913116/samsung-ssd-m-2-pci-e-nvme-970-evo-plus-mz-v7s250e""}]"
Kingston NV2 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SNV2S/250G),https://cdna.pcpartpicker.com/static/forever/images/product/1ab970d9da01e708936041815f8f0505.256p.jpg,https://pcpartpicker.com/product/KQXJ7P/kingston-nv2-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s250g,NVME,250,"[{""retailer"": ""computeruniverse.net"", ""price"": ""33"", ""url"": ""https://www.gputracker.eu/si-click/4/3640274/kingston-nv2-nvme-ssd-250-gb-m-2-2280-pcie-4-0""}, {""retailer"": ""jacob.de"", ""price"": ""44"", ""url"": ""https://www.gputracker.eu/si-click/4/1776572/kingston-technology-nv2-m-2-250-gb-pci-express-4-0""}]"
PNY XLR8 CS3030 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (M280CS3030-250-RB),https://cdna.pcpartpicker.com/static/forever/images/product/a8a23703b2021a75e31ca15ce00b9102.256p.jpg,https://pcpartpicker.com/product/jD848d/pny-xlr8-cs3030-250-gb-m2-2280-nvme-solid-state-drive-m280cs3030-250-rb,NVME,250,"[{""retailer"": ""amazon.de"", ""price"": ""78"", ""url"": ""https://www.gputracker.eu/si-click/4/453675/pny-xlr8-cs3030-m-2-nvme-interne-ssd-250gb-leseges""}]"
Silicon Power UD85 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SP250GBP44UD8505),https://cdna.pcpartpicker.com/static/forever/images/product/b80655b61313a25a93040d7c5a41e56c.256p.jpg,https://pcpartpicker.com/product/PZLdnQ/silicon-power-ud85-250-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp250gbp44ud8505,NVME,250,"[{""retailer"": ""jacob.de"", ""price"": ""40"", ""url"": ""https://www.gputracker.eu/si-click/4/2288129/silicon-power-ud85-m-2-250-gb-pci-express-4-0-3d-n""}]"
Western Digital Red 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS250G1R0C),https://cdna.pcpartpicker.com/static/forever/images/product/9533283915dc0f05e3367cf9acf0591e.256p.jpg,https://pcpartpicker.com/product/mVLFf7/western-digital-wd-red-sn700-250-gb-m2-2280-nvme-solid-state-drive-wds250g1r0c,NVME,250,"[{""retailer"": ""jacob.de"", ""price"": ""75"", ""url"": ""https://www.gputracker.eu/si-click/4/1136342/western-digital-ssd-red-sn700-250gb-nvme-m-2-pcie-""}]"
Silicon Power UD90 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SP250GBP44UD9005),https://cdna.pcpartpicker.com/static/forever/images/product/8d50b72c86e4d5376f8d6b4483cf52e9.256p.jpg,https://pcpartpicker.com/product/ZdZ9TW/silicon-power-ud90-250-gb-m2-2280-nvme-solid-state-drive-sp250gbp44ud9005,NVME,250,"[{""retailer"": ""jacob.de"", ""price"": ""64"", ""url"": ""https://www.gputracker.eu/si-click/4/1683214/silicon-power-m-2-2280-pcie-250gb-ssd-ud90-gen4x4-""}]"
Western Digital Blue SN570 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS500G3B0C),https://cdna.pcpartpicker.com/static/forever/images/product/820f4e4ac27af85645afeaabc7b82f04.256p.jpg,https://pcpartpicker.com/product/9FH7YJ/western-digital-blue-sn570-500-gb-m2-2280-nvme-solid-state-drive-wds500g3b0c,NVME,500,"[{""retailer"": ""jacob.de"", ""price"": ""192"", ""url"": ""https://www.gputracker.eu/si-click/4/1204096/western-digital-wd-ssd-blue-sn570-500gb-pcie-gen3-""}]"
Crucial P3 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (CT500P3SSD8),https://cdna.pcpartpicker.com/static/forever/images/product/5b0cd518feacc76794f17f75745b2907.256p.jpg,https://pcpartpicker.com/product/XKt9TW/crucial-p3-500-gb-m2-2280-nvme-solid-state-drive-ct500p3ssd8,NVME,500,"[{""retailer"": ""reichelt.de"", ""price"": ""40"", ""url"": ""https://www.gputracker.eu/si-click/4/1861906/ct500p3pssd8-crucial-p3-plus-ssd-500-gb-m-2-nvme""}, {""retailer"": ""computeruniverse.net"", ""price"": ""40"", ""url"": ""https://www.gputracker.eu/si-click/4/3640267/crucial-p3-nvme-ssd-500-gb-m-2-2280-3d-nand-pcie-3""}, {""retailer"": ""computeruniverse.net"", ""price"": ""43"", ""url"": ""https://www.gputracker.eu/si-click/4/3640270/crucial-p3-plus-nvme-ssd-500-gb-m-2-2280-3d-nand-p""}, {""retailer"": ""amazon.de"", ""price"": ""43"", ""url"": ""https://www.gputracker.eu/si-click/4/3613117/crucial-p310-ssd-500gb-m-2-2280-pcie-gen4-nvme-int""}, {""retailer"": ""computeruniverse.net"", ""price"": ""45"", ""url"": ""https://www.gputracker.eu/si-click/4/3640334/crucial-p310-nvme-ssd-500-gb-m-2-2280-pcie-4-0""}, {""retailer"": ""jacob.de"", ""price"": ""50"", ""url"": ""https://www.gputracker.eu/si-click/4/1738876/crucial-p3-plus-500gb-nvme-m-2-2280ss-ssd-ct500p3p""}, {""retailer"": ""jacob.de"", ""price"": ""52"", ""url"": ""https://www.gputracker.eu/si-click/4/1738985/crucial-p3-500gb-nvme-m-2-2280ss-ssd-ct500p3ssd8""}]"
