gpu_name,g3d_mark,g2d_mark,tdp,vram,category
RTX A6000,22538,908,300,49152 MB,Workstation
Quadro RTX 8000,19748,876,260,49152 MB,Workstation
GeForce RTX 5090 D,45948,1734,575,32768 MB,Desktop
GeForce RTX 5090,38953,1377,575,32768 MB,Desktop
Quadro GV100,19824,848,250,32768 MB,Workstation
TITAN V CEO Edition,16988,1086,250,32000 MB,Desktop
GeForce RTX 4090,38421,1295,450,24576 MB,Desktop
Radeon RX 7900 XTX,31060,1240,355,24576 MB,Desktop
GeForce RTX 3090 Ti,29618,1228,450,24576 MB,Desktop
GeForce RTX 5090 Laptop GPU,28280,842,95,24576 MB,Mobile
GeForce RTX 3090,26678,1056,350,24576 MB,Desktop
RTX A5000,22648,1033,230,24576 MB,Workstation
TITAN RTX,20221,831,280,24576 MB,Workstation
Quadro RTX 6000,18633,789,295,24576 MB,Workstation
Tesla P40,12267,439,250,24576 MB,Workstation
Quadro M6000 24GB,11917,722,250,24576 MB,Workstation
Quadro P6000,15438,731,250,24000 MB,Workstation
Radeon RX 7900 XT,28889,1203,315,20480 MB,Desktop
GeForce RTX 5080,36096,1393,360,16384 MB,Desktop
GeForce RTX 4080,34556,1234,320,16384 MB,Desktop
GeForce RTX 4080 SUPER,34308,1261,320,16384 MB,Desktop
GeForce RTX 5070 Ti,32264,1366,300,16384 MB,Desktop
GeForce RTX 4070 Ti SUPER,31817,1213,285,16384 MB,Desktop
Radeon RX 6950 XT,28130,1049,335,16384 MB,Desktop
GeForce RTX 4090 Laptop GPU,27436,972,150,16384 MB,Mobile
Radeon RX 6900 XT,26728,1048,300,16384 MB,Desktop
Radeon RX 6800 XT,24985,1021,300,16384 MB,Desktop
Radeon RX 7800 XT,24196,1157,263,16384 MB,Desktop
GeForce RTX 4060 Ti 16GB,22749,1063,165,16384 MB,Desktop
Radeon RX 6800,22121,983,250,16384 MB,Desktop
RTX A4000,19583,1023,140,16384 MB,Workstation
GeForce RTX 3080 Ti Laptop GPU,19526,830,115,16384 MB,Mobile
Radeon VII,16421,789,300,16384 MB,Desktop
RTX A5000 Laptop GPU,16213,627,165,16384 MB,"Mobile, Workstation"
Quadro RTX 5000,15744,706,230,16384 MB,Workstation
Quadro GP100,15149,836,235,16384 MB,Workstation
RTX A4000 Laptop GPU,15046,581,140,16384 MB,"Mobile, Workstation"
Quadro RTX 5000 (Mobile),14832,705,110,16384 MB,"Mobile, Workstation"
Intel Arc A770,13179,758,225,16384 MB,Desktop
Quadro RTX 5000 with Max-Q Design,13081,540,80,16384 MB,"Mobile, Workstation"
Radeon Vega Frontier Edition,13013,742,350,16384 MB,Desktop
Quadro P5000,12634,672,180,16384 MB,Workstation
Radeon Pro 5700 XT,12568,812,130,16384 MB,Desktop
Radeon Pro WX 9100,12285,731,230,16384 MB,Desktop
Intel Arc A770M,11917,740,150,16384 MB,Mobile
Quadro P4000 with Max-Q Design,9083,700,80,16384 MB,Mobile
FirePro W9100,7705,811,275,16384 MB,Workstation
Radeon RX 580 2048SP,7661,668,150,16384 MB,Desktop
Tesla P100-PCIE-16GB,7225,572,250,16384 MB,Workstation
Radeon R7 A10-7850K,945,273,95,16384 MB,Desktop
GeForce RTX 4070 Ti,31747,1195,285,12288 MB,Desktop
GeForce RTX 4070 SUPER,30060,1175,220,12288 MB,Desktop
GeForce RTX 3080 Ti,27007,1088,350,12288 MB,Desktop
GeForce RTX 4070,26969,1159,200,12288 MB,Desktop
GeForce RTX 3080 12GB,26589,1084,350,12288 MB,Desktop
GeForce RTX 4080 Laptop GPU,25013,933,150,12288 MB,Mobile
Radeon RX 7700 XT,22458,1130,245,12288 MB,Desktop
Radeon RX 6750 XT,20778,964,250,12288 MB,Desktop
Radeon RX 6700 XT,19828,943,230,12288 MB,Desktop
TITAN V,19748,906,250,12288 MB,Desktop
NVIDIA TITAN Xp,18906,897,250,12288 MB,Desktop
TITAN Xp COLLECTORS EDITION,18873,931,250,12288 MB,Desktop
GeForce RTX 3060 12GB,16895,960,170,12288 MB,Desktop
GeForce RTX 2060 12GB,15917,842,185,12288 MB,Desktop
RadeonT RX 6850M XT,14598,724,165,12288 MB,Mobile
NVIDIA TITAN X,13660,912,250,12288 MB,Desktop
Radeon RX 6800M,13317,543,145,12288 MB,Mobile
GeForce GTX TITAN X,12864,833,250,12288 MB,Desktop
Quadro M6000,11777,725,250,12288 MB,Workstation
GeForce GTX TITAN Z,8905,639,375,12288 MB,Desktop
Quadro K6000,8052,537,225,12288 MB,Workstation
GeForce RTX 2080 Ti,21655,930,250,11264 MB,Desktop
GeForce GTX 1080 Ti,18586,935,250,11264 MB,Desktop
GeForce RTX 3080,25180,1049,320,10240 MB,Desktop
Radeon RX 6700,19224,1059,175,10240 MB,Desktop
Radeon RX 6700M,13522,566,135,10240 MB,Mobile
GeForce RTX 3070 Ti,23468,1049,290,8192 MB,Desktop
GeForce RTX 4060 Ti,22726,1077,160,8192 MB,Desktop
GeForce RTX 3070,22292,998,220,8192 MB,Desktop
GeForce RTX 3060 Ti,20416,988,200,8192 MB,Desktop
GeForce RTX 4060,19752,1083,115,8192 MB,Desktop
GeForce RTX 4070 Laptop GPU,19552,758,115,8192 MB,Mobile
GeForce RTX 2080 SUPER,19529,920,250,8192 MB,Desktop
GeForce RTX 2070 SUPER,18216,880,215,8192 MB,Desktop
GeForce RTX 3070 Ti Laptop GPU,17803,777,115,8192 MB,Mobile
GeForce RTX 4060 Laptop GPU,17600,733,115,8192 MB,Mobile
Radeon RX 6650 XT,17172,913,176,8192 MB,Desktop
Radeon RX 7600,16619,969,165,8192 MB,Desktop
Radeon RX 5700 XT 50th Anniversary,16505,942,235,8192 MB,Desktop
GeForce RTX 2060 SUPER,16493,854,175,8192 MB,Desktop
Radeon RX 6600 XT,16485,911,160,8192 MB,Desktop
Radeon RX 5700 XT,16440,922,225,8192 MB,Desktop
GeForce RTX 3080 Laptop GPU,16423,640,115,8192 MB,Mobile
GeForce RTX 2070,16142,822,175,8192 MB,Desktop
Radeon RX 6800S,15721,720,100,8192 MB,Mobile
GeForce GTX 1080,15562,887,180,8192 MB,Desktop
GeForce RTX 3070 Laptop GPU,15401,645,115,8192 MB,Mobile
GeForce RTX 3060 8GB,15323,971,170,8192 MB,Desktop
Radeon RX 7600S,15233,769,75,8192 MB,Mobile
Quadro RTX 4000,15223,866,160,8192 MB,Workstation
Radeon RX 6600,15119,879,132,8192 MB,Desktop
GeForce RTX 2080 (Mobile),15107,812,150,8192 MB,Mobile
Radeon RX 6700S,14975,734,80,8192 MB,Mobile
