drive_name,size,disk_mark,type
001-1CH164,1.8 TB,989,HDD
128GB NVME EVM,119.2 GB,5486,SSD
2-Power SSD2041A 120GB,111.8 GB,2795,SSD
2-Power SSD2042A 240GB,223.6 GB,3361,SSD
2-Power SSD2042B 256GB,238.5 GB,3367,SSD
2-Power SSD2043A 480GB,447.1 GB,2597,SSD
2-Power SSD2043B 512GB,476.9 GB,3577,SSD
2-Power SSD7013A 512GB,476.9 GB,16841,SSD
2.5 SSD 480GB,447.1 GB,1989,SSD
"2.5"" SSD 3TE7",111.8 GB,1868,SSD
"2.5"" SSD 3TG6-P",447.1 GB,3391,SSD
2500 Micron 1024GB,953.9 GB,40355,SSD
2500 Micron 512GB,476.9 GB,31022,SSD
2550 Micron 1024GB,953.9 GB,32936,SSD
2550 Micron 256GB,238.5 GB,23901,SSD
2550 Micron 512GB,476.9 GB,27392,SSD
2710DCS23BF-128,119.2 GB,3477,SSD
2TB SSD,1.9 TB,41620,SSD
30TT253X2-1TB,953.9 GB,3018,SSD
30TT253X2-512GB,476.9 GB,2751,SSD
311CD0512GB,476.9 GB,17548,SSD
321JN1024GB,953.9 GB,35479,SSD
3460 NVMe Micron 1024GB,953.9 GB,18333,SSD
3460 NVMe Micron 512GB,476.9 GB,16545,SSD
35TTFP6PCIE-1TB,953.9 GB,11807,SSD
35TTFP6PCIE-256G,238.5 GB,12997,SSD
35TTFP6PCIE-512G,476.9 GB,10978,SSD
3E128-TS2-550B01,93.1 GB,3563,SSD
3Q SSD S220-128GB,111.8 GB,2156,SSD
3Q SSD S220-64GB,55.9 GB,1816,SSD
500GB-PRO-X-SS,465.8 GB,11138,SSD
511BS0256GB,238.5 GB,13052,SSD
511BS0512GB,476.9 GB,20893,SSD
511BS0512HB,476.9 GB,14042,SSD
512GB PCS PCIe M,476.9 GB,22159,HDD
51RISC 256GB,238.5 GB,2548,SSD
660p SSDPEKNW512G8 NVMe INTEL 512GB,476.9 GB,11575,SSD
670p SSDPEKNU512GZ NVMe INTEL 512GB,476.9 GB,16004,SSD
690 NEO Pro M.2 256GB,238.5 GB,3760,SSD
7335943:ICDPC5ED2ORA6.4T,2.9 TB,14178,SSD
"980Plus 2.5""3-256GB SSD",238.5 GB,2907,SSD
"980Plus 2.5""3-512GB SSD",476.9 GB,3027,SSD
980Plus M.2 2242-64GB,59.6 GB,2160,SSD
99IB3321-ASL SSD 480G,447.1 GB,2549,SSD
Aarvex 256GB SSD,238.5 GB,5749,SSD
AATO-50-1TCI,953.9 GB,30739,SSD
AATO-50-512GCI,476.9 GB,25797,SSD
ABSNE19512GB,476.9 GB,23828,SSD
ABSSDNVMe512GB,476.9 GB,19048,SSD
ACCLAMATOR SSD 1TB,953.9 GB,31333,SSD
ACCLAMATOR SSD 256GB,238.5 GB,11240,SSD
ACCLAMATOR SSD 2TB,1.9 TB,21454,SSD
ACCLAMATOR SSD 480GB,447.1 GB,4055,SSD
ACCLAMATOR SSD 512GB,476.9 GB,22556,SSD
Acer FA100 TB1B NVMe PCIe,953.9 GB,16445,SSD
Acer SSD FA100 128GB,119.2 GB,5179,SSD
Acer SSD FA100 1TB,953.9 GB,20132,SSD
Acer SSD FA100 256GB,238.5 GB,13070,SSD
Acer SSD FA100 2TB,1.9 TB,19953,SSD
Acer SSD FA100 512GB,476.9 GB,18841,SSD
Acer SSD FA200 1TB,931.5 GB,40068,HDD
Acer SSD FA200 2TB,1.8 TB,38614,SSD
Acer SSD FA200 4TB,3.6 TB,38782,SSD
Acer SSD N5000 2TB,1.9 TB,37830,SSD
Acer SSD N7000 2TB,1.8 TB,47647,SSD
Acer SSD RE 100 2.5 512GB,476.9 GB,3731,SSD
Acer SSD RE100 2.5 128GB,119.2 GB,3557,SSD
Acer SSD RE100 2.5 256GB,238.5 GB,3299,SSD
Acer SSD RE100 2.5 512GB,476.9 GB,3607,SSD
Acer SSD SA100 120GB,111.8 GB,3701,SSD
Acer SSD SA100 1920GB,1.7 TB,3571,SSD
Acer SSD SA100 240GB,223.6 GB,3334,SSD
Acer SSD SA100 480GB,447.1 GB,3025,SSD
ACPI SSD2F-M SSD 120GB,111.8 GB,1364,SSD
ACPI SSD2F-M SSD 240GB,223.6 GB,2661,SSD
ACPI SSD2F-M SSD 64GB,59.6 GB,2394,SSD
ADATA FALCON,1.9 TB,19054,HDD
ADATA FALCON,953.9 GB,17251,HDD
ADATA FALCON,476.9 GB,14949,SSD
ADATA FALCON,238.5 GB,10254,HDD
ADATA ICFP301-512GP,476.9 GB,11164,HDD
ADATA IM2P32A8-128GCTB5,119.2 GB,6907,SSD
ADATA IM2P32A8-256GCTB5,238.5 GB,11901,SSD
ADATA IM2P33F8-256GD,238.5 GB,9977,SSD
ADATA IM2S3164-128GCTB5,119.2 GB,3511,SSD
ADATA IM2S3164-256GCTB5,238.5 GB,3794,SSD
ADATA IM2S3168-128GP,119.2 GB,3826,SSD
ADATA IM2S3168-256GP,238.5 GB,4783,SSD
ADATA IM2S3338-128GD2,119.2 GB,3780,SSD
ADATA LEGEND 700,1.9 TB,15273,SSD
ADATA LEGEND 700,953.9 GB,14423,SSD
ADATA LEGEND 700,476.9 GB,14235,SSD
ADATA LEGEND 700,238.5 GB,12763,SSD
ADATA LEGEND 700 GOLD,1.9 TB,14950,SSD
ADATA LEGEND 700 GOLD,953.9 GB,13928,SSD
ADATA LEGEND 700 GOLD,476.9 GB,13113,SSD
ADATA LEGEND 710,953.9 GB,17478,SSD
ADATA LEGEND 710,1.9 TB,17196,SSD
ADATA LEGEND 710,476.9 GB,15295,SSD
ADATA LEGEND 710,238.5 GB,13563,SSD
ADATA LEGEND 740,931.5 GB,21576,SSD
ADATA LEGEND 740,465.8 GB,18307,SSD
ADATA LEGEND 740,232.9 GB,16148,SSD
ADATA LEGEND 750,931.5 GB,22894,SSD
ADATA LEGEND 750,465.8 GB,18578,SSD
ADATA LEGEND 800,465.8 GB,22377,SSD
ADATA LEGEND 800,1.8 TB,21803,SSD
ADATA LEGEND 800,931.5 GB,20732,SSD
ADATA LEGEND 800 GOLD,1.8 TB,22549,SSD
ADATA LEGEND 800 GOLD,931.5 GB,20515,SSD
ADATA LEGEND 820,953.9 GB,28335,SSD
ADATA LEGEND 840,953.9 GB,31033,SSD
