name,product_code,brand,image,url,socket,size,ram_slots,ram_type,offers
MSI MAG Z790 TOMAHAWK WIFI ATX LGA1700 Motherboard (MAG Z790 TOMAHAWK WIFI),MAG Z790 TOMAHAWK WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/4776555bd90ed817bdfa00fc78ae3043.256p.jpg,https://pcpartpicker.com/product/9B2WGX/msi-mag-z790-tomahawk-wifi-atx-lga1700-motherboard-mag-z790-tomahawk-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""239"", ""url"": ""https://www.gputracker.eu/si-click/8/3640067/msi-mag-z790-tomahawk-wifi-atx-mainboard-sockel-17""}, {""retailer"": ""pskmegastore.com"", ""price"": ""245"", ""url"": ""https://www.gputracker.eu/si-click/8/2858153/msi-mag-z790-tomahawk-wifi-carte-mere-intel-lga-17""}, {""retailer"": ""reichelt.de"", ""price"": ""250"", ""url"": ""https://www.gputracker.eu/si-click/8/2006111/msi-7d91-009r-msi-mag-z790-tomahawk-wifi-1700""}, {""retailer"": ""reichelt.de"", ""price"": ""295"", ""url"": ""https://www.gputracker.eu/si-click/8/2705341/msi-7e25-002r-msi-mag-z790-tomahawk-max-wifi-1700""}, {""retailer"": ""ldlc.com"", ""price"": ""336"", ""url"": ""https://www.gputracker.eu/si-click/8/2701725/msi-mag-z790-tomahawk-max-wifi""}, {""retailer"": ""pskmegastore.com"", ""price"": ""421"", ""url"": ""https://www.gputracker.eu/si-click/8/2858152/msi-mag-z790-tomahawk-wifi-ddr4-carte-mere-intel-l""}]"
Gigabyte Z790 AORUS ELITE AX ATX LGA1700 Motherboard (Z790 AORUS ELITE AX),Z790 AORUS ELITE AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/ba20600286bf8f74ce71df37ed8aef65.256p.jpg,https://pcpartpicker.com/product/T2H7YJ/gigabyte-z790-aorus-elite-ax-atx-lga1700-motherboard-z790-aorus-elite-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""180"", ""url"": ""https://www.gputracker.eu/si-click/8/3639957/gigabyte-z790-aorus-elite-ddr4-atx-mainboard-socke""}, {""retailer"": ""reichelt.de"", ""price"": ""191"", ""url"": ""https://www.gputracker.eu/si-click/8/2702934/ga-z790-49948-gigabyte-z790-aorus-elite-ddr4-1700""}, {""retailer"": ""ldlc.com"", ""price"": ""200"", ""url"": ""https://www.gputracker.eu/si-click/8/2203957/gigabyte-z790-aorus-elite-ddr4""}, {""retailer"": ""computeruniverse.net"", ""price"": ""215"", ""url"": ""https://www.gputracker.eu/si-click/8/3640046/gigabyte-z790-aorus-elite-ax-ddr4-atx-mainboard-so""}, {""retailer"": ""pskmegastore.com"", ""price"": ""222"", ""url"": ""https://www.gputracker.eu/si-click/8/2958121/gigabyte-z790-aorus-elite-ddr4-carte-mere-intel-z7""}, {""retailer"": ""pskmegastore.com"", ""price"": ""226"", ""url"": ""https://www.gputracker.eu/si-click/8/2858163/gigabyte-z790-aorus-elite-ax-carte-mere-intel-lga-""}, {""retailer"": ""computeruniverse.net"", ""price"": ""231"", ""url"": ""https://www.gputracker.eu/si-click/8/3640042/gigabyte-z790-aorus-elite-ax-atx-mainboard-sockel-""}, {""retailer"": ""reichelt.de"", ""price"": ""243"", ""url"": ""https://www.gputracker.eu/si-click/8/2264842/ga-z790-49467-gigabyte-z790-aorus-elite-ax-1700""}, {""retailer"": ""ldlc.com"", ""price"": ""265"", ""url"": ""https://www.gputracker.eu/si-click/8/1834649/gigabyte-z790-aorus-elite-ax""}, {""retailer"": ""ldlc.com"", ""price"": ""316"", ""url"": ""https://www.gputracker.eu/si-click/8/2655145/gigabyte-z790-aorus-elite-x-wifi7""}]"
Asus ROG MAXIMUS Z790 HERO ATX LGA1700 Motherboard (ROG MAXIMUS Z790 HERO),ROG MAXIMUS Z790 HERO,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/05e4de174a09d66930ef0706d0cec194.256p.jpg,https://pcpartpicker.com/product/LYM48d/asus-rog-maximus-z790-hero-atx-lga1700-motherboard-rog-maximus-z790-hero,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""533"", ""url"": ""https://www.gputracker.eu/si-click/8/3640201/asus-rog-strix-maximus-z790-dark-hero-atx-mainboar""}, {""retailer"": ""pskmegastore.com"", ""price"": ""622"", ""url"": ""https://www.gputracker.eu/si-click/8/2858259/asus-rog-maximus-z790-dark-hero-intel-z790-lga-170""}, {""retailer"": ""pskmegastore.com"", ""price"": ""765"", ""url"": ""https://www.gputracker.eu/si-click/8/2858253/asus-rog-maximus-z790-hero-intel-lga-1700-atx""}, {""retailer"": ""pskmegastore.com"", ""price"": ""833"", ""url"": ""https://www.gputracker.eu/si-click/8/2858258/asus-rog-maximus-z790-apex-encore-intel-z790-lga-1""}, {""retailer"": ""pskmegastore.com"", ""price"": ""834"", ""url"": ""https://www.gputracker.eu/si-click/8/3025380/asus-rog-maximus-z790-hero-btf-intel-z790-lga-1700""}]"
Gigabyte B760 GAMING X AX ATX LGA1700 Motherboard (B760 GAMING X AX),B760 GAMING X AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/4d65b7ee40bd1e21573b5aa67d7ead85.256p.jpg,https://pcpartpicker.com/product/N6nypg/gigabyte-b760-gaming-x-ax-atx-lga1700-motherboard-b760-gaming-x-ax,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""100"", ""url"": ""https://www.gputracker.eu/si-click/8/3639810/gigabyte-b760m-gaming-ddr4-matx-mainboard-sockel-1""}, {""retailer"": ""pskmegastore.com"", ""price"": ""107"", ""url"": ""https://www.gputracker.eu/si-click/8/2857959/gigabyte-b760m-gaming-ddr4-carte-mere-intel-b760-e""}, {""retailer"": ""computeruniverse.net"", ""price"": ""114"", ""url"": ""https://www.gputracker.eu/si-click/8/3639835/gigabyte-b760m-gaming-x-ddr4-matx-mainboard-sockel""}, {""retailer"": ""reichelt.de"", ""price"": ""121"", ""url"": ""https://www.gputracker.eu/si-click/8/2515779/ga-b760m-51255-gigabyte-b760m-gaming-x-ddr4-1700""}, {""retailer"": ""pskmegastore.com"", ""price"": ""126"", ""url"": ""https://www.gputracker.eu/si-click/8/2858010/gigabyte-b760m-gaming-x-ddr4-carte-mere-intel-b760""}, {""retailer"": ""pskmegastore.com"", ""price"": ""126"", ""url"": ""https://www.gputracker.eu/si-click/8/2858027/gigabyte-b760-gaming-x-carte-mere-intel-express-lg""}, {""retailer"": ""computeruniverse.net"", ""price"": ""128"", ""url"": ""https://www.gputracker.eu/si-click/8/3639856/gigabyte-b760-gaming-x-ddr4-atx-mainboard-sockel-1""}, {""retailer"": ""ldlc.com"", ""price"": ""130"", ""url"": ""https://www.gputracker.eu/si-click/8/2799741/gigabyte-b760m-gaming-x-ddr4""}, {""retailer"": ""reichelt.de"", ""price"": ""134"", ""url"": ""https://www.gputracker.eu/si-click/8/2266295/ga-b760-50906-gigabyte-b760-gaming-x-ddr4-1700""}, {""retailer"": ""reichelt.de"", ""price"": ""139"", ""url"": ""https://www.gputracker.eu/si-click/8/2702923/ga-b760m-53228-gigabyte-b760m-gaming-x-ax-1700""}]"
Asus PRIME Z790-P WIFI ATX LGA1700 Motherboard (PRIME Z790-P WIFI),PRIME Z790-P WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/24ed1df0ae0ec819d9bd2f693f76c496.256p.jpg,https://pcpartpicker.com/product/nCGbt6/asus-prime-z790-p-wifi-atx-lga1700-motherboard-prime-z790-p-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""235"", ""url"": ""https://www.gputracker.eu/si-click/8/3640038/asus-prime-z790-p-wifi-atx-gaming-mainboard-sockel""}, {""retailer"": ""ldlc.com"", ""price"": ""240"", ""url"": ""https://www.gputracker.eu/si-click/8/1812633/asus-prime-z790-p-wifi""}, {""retailer"": ""pskmegastore.com"", ""price"": ""245"", ""url"": ""https://www.gputracker.eu/si-click/8/2858139/asus-prime-z790-p-wifi-intel-z790-lga-1700-atx""}, {""retailer"": ""pskmegastore.com"", ""price"": ""257"", ""url"": ""https://www.gputracker.eu/si-click/8/2858210/asus-prime-z790-a-wifi-intel-z790-lga-1700-atx""}, {""retailer"": ""computeruniverse.net"", ""price"": ""267"", ""url"": ""https://www.gputracker.eu/si-click/8/3640089/asus-prime-z790-a-wifi-atx-gaming-mainboard-sockel""}, {""retailer"": ""ldlc.com"", ""price"": ""300"", ""url"": ""https://www.gputracker.eu/si-click/8/1812897/asus-prime-z790-a-wifi""}]"
MSI PRO Z790-P WIFI ATX LGA1700 Motherboard (PRO Z790-P WIFI),PRO Z790-P WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/70392ffdd327f8c69ec493d66a257742.256p.jpg,https://pcpartpicker.com/product/k7mmP6/msi-pro-z790-p-wifi-atx-lga1700-motherboard-pro-z790-p-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5,"[{""retailer"": ""pskmegastore.com"", ""price"": ""196"", ""url"": ""https://www.gputracker.eu/si-click/8/2858111/msi-pro-z790-p-wifi-carte-mere-intel-z790-lga-1700""}, {""retailer"": ""computeruniverse.net"", ""price"": ""202"", ""url"": ""https://www.gputracker.eu/si-click/8/3640011/msi-pro-z790-p-wifi-atx-mainboard-sockel-1700-wifi""}, {""retailer"": ""reichelt.de"", ""price"": ""220"", ""url"": ""https://www.gputracker.eu/si-click/8/2006107/msi-7e06-001r-msi-pro-z790-p-wifi-1700""}, {""retailer"": ""ldlc.com"", ""price"": ""240"", ""url"": ""https://www.gputracker.eu/si-click/8/1812895/msi-pro-z790-p-wifi""}, {""retailer"": ""computeruniverse.net"", ""price"": ""256"", ""url"": ""https://www.gputracker.eu/si-click/8/3640081/msi-pro-z790-a-max-wifi-atx-mainboard-sockel-1700-""}, {""retailer"": ""pskmegastore.com"", ""price"": ""261"", ""url"": ""https://www.gputracker.eu/si-click/8/2858204/msi-pro-z790-a-max-wifi-carte-mere-intel-z790-lga-""}, {""retailer"": ""reichelt.de"", ""price"": ""266"", ""url"": ""https://www.gputracker.eu/si-click/8/2705340/msi-7e07-014r-msi-pro-z790-a-max-wifi-1700""}, {""retailer"": ""computeruniverse.net"", ""price"": ""270"", ""url"": ""https://www.gputracker.eu/si-click/8/3640087/msi-z790-project-zero-atx-mainboard-sockel-1700-m-""}, {""retailer"": ""ldlc.com"", ""price"": ""300"", ""url"": ""https://www.gputracker.eu/si-click/8/2701723/msi-pro-z790-a-max-wifi""}, {""retailer"": ""pskmegastore.com"", ""price"": ""366"", ""url"": ""https://www.gputracker.eu/si-click/8/2858212/msi-pro-z790-a-wifi-ddr4-carte-mere-intel-z790-lga""}]"
Gigabyte B760M AORUS ELITE AX Micro ATX LGA1700 Motherboard (B760M AORUS ELITE AX),B760M AORUS ELITE AX,Gigabyte,https://cdna.pcpartpicker.com/static/forever/images/product/cac6ebccacffa18aa88dd37be959b5c4.256p.jpg,https://pcpartpicker.com/product/wBfnTW/gigabyte-b760m-aorus-elite-ax-micro-atx-lga1700-motherboard-b760m-aorus-elite-ax,LGA 1700,MicroATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""162"", ""url"": ""https://www.gputracker.eu/si-click/8/3639933/gigabyte-b760m-aorus-elite-ax-matx-mainboard-socke""}, {""retailer"": ""reichelt.de"", ""price"": ""167"", ""url"": ""https://www.gputracker.eu/si-click/8/2702926/ga-b760m-51309-gigabyte-b760m-aorus-elite-ax-1700""}, {""retailer"": ""pskmegastore.com"", ""price"": ""168"", ""url"": ""https://www.gputracker.eu/si-click/8/2858074/gigabyte-b760m-aorus-elite-ax-carte-mere-intel-b76""}, {""retailer"": ""ldlc.com"", ""price"": ""200"", ""url"": ""https://www.gputracker.eu/si-click/8/2249013/gigabyte-b760m-aorus-elite-ax""}]"
Asus ROG STRIX Z790-E GAMING WIFI ATX LGA1700 Motherboard (ROG STRIX Z790-E GAMING WIFI),ROG STRIX Z790-E GAMING WIFI,Asus,https://cdna.pcpartpicker.com/static/forever/images/product/79687dad482d6163f14752ea4764c5f2.256p.jpg,https://pcpartpicker.com/product/2YM48d/asus-rog-strix-z790-e-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-e-gaming-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 192GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""283"", ""url"": ""https://www.gputracker.eu/si-click/8/3640114/asus-rog-strix-z790-a-gaming-wifi-d4-atx-mainboard""}, {""retailer"": ""computeruniverse.net"", ""price"": ""289"", ""url"": ""https://www.gputracker.eu/si-click/8/3640117/asus-rog-strix-z790-a-gaming-wifi-ii-atx-mainboard""}, {""retailer"": ""computeruniverse.net"", ""price"": ""304"", ""url"": ""https://www.gputracker.eu/si-click/8/3640133/asus-rog-strix-z790-f-gaming-wifi-atx-mainboard-so""}, {""retailer"": ""computeruniverse.net"", ""price"": ""328"", ""url"": ""https://www.gputracker.eu/si-click/8/3640148/asus-rog-strix-z790-e-gaming-wifi-atx-mainboard-so""}, {""retailer"": ""computeruniverse.net"", ""price"": ""372"", ""url"": ""https://www.gputracker.eu/si-click/8/3640160/asus-rog-strix-z790-i-gaming-wifi-itx-mainboard-so""}, {""retailer"": ""pskmegastore.com"", ""price"": ""405"", ""url"": ""https://www.gputracker.eu/si-click/8/3039951/asus-rog-strix-z790-f-gaming-wifi-intel-z790-lga-1""}, {""retailer"": ""pskmegastore.com"", ""price"": ""441"", ""url"": ""https://www.gputracker.eu/si-click/8/3605578/asus-rog-strix-z790-e-gaming-wifi-intel-z790-lga-1""}, {""retailer"": ""pskmegastore.com"", ""price"": ""453"", ""url"": ""https://www.gputracker.eu/si-click/8/3168457/asus-rog-strix-z790-e-gaming-wifi-intel-z790-lga-1""}, {""retailer"": ""pskmegastore.com"", ""price"": ""520"", ""url"": ""https://www.gputracker.eu/si-click/8/2858231/asus-rog-strix-z790-i-gaming-wifi-intel-z790-lga-1""}, {""retailer"": ""computeruniverse.net"", ""price"": ""533"", ""url"": ""https://www.gputracker.eu/si-click/8/3640201/asus-rog-strix-maximus-z790-dark-hero-atx-mainboar""}]"
MSI B760 GAMING PLUS WIFI ATX LGA1700 Motherboard (B760 GAMING PLUS WIFI),B760 GAMING PLUS WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/f22d681ccfd01238e756443a474f400b.256p.jpg,https://pcpartpicker.com/product/TxcgXL/msi-b760-gaming-plus-wifi-atx-lga1700-motherboard-b760-gaming-plus-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5,"[{""retailer"": ""pskmegastore.com"", ""price"": ""136"", ""url"": ""https://www.gputracker.eu/si-click/8/3688778/msi-b760-gaming-plus-wifi-ddr4-carte-mere-intel-b7""}, {""retailer"": ""computeruniverse.net"", ""price"": ""142"", ""url"": ""https://www.gputracker.eu/si-click/8/3639886/msi-b760-gaming-plus-wifi-ddr4-atx-mainboard-s1700""}, {""retailer"": ""pskmegastore.com"", ""price"": ""146"", ""url"": ""https://www.gputracker.eu/si-click/8/2858082/msi-b760m-gaming-plus-wifi-carte-mere-intel-b760-l""}, {""retailer"": ""computeruniverse.net"", ""price"": ""146"", ""url"": ""https://www.gputracker.eu/si-click/8/3639897/msi-b760m-gaming-plus-wifi-atx-mainboard-sockel-17""}, {""retailer"": ""reichelt.de"", ""price"": ""147"", ""url"": ""https://www.gputracker.eu/si-click/8/3650068/msi-7d98-043r-msi-b760-gaming-plus-wifi-ddr4-1700""}, {""retailer"": ""reichelt.de"", ""price"": ""150"", ""url"": ""https://www.gputracker.eu/si-click/8/2960784/msi-7d99-017r-msi-b760m-gaming-plus-wifi-1700""}, {""retailer"": ""computeruniverse.net"", ""price"": ""154"", ""url"": ""https://www.gputracker.eu/si-click/8/3639909/msi-b760-gaming-plus-wifi-atx-ddr5-mainboard-s1700""}, {""retailer"": ""reichelt.de"", ""price"": ""158"", ""url"": ""https://www.gputracker.eu/si-click/8/2438046/msi-7d98-007r-msi-b760-gaming-plus-wifi-1700""}, {""retailer"": ""pskmegastore.com"", ""price"": ""159"", ""url"": ""https://www.gputracker.eu/si-click/8/2916882/msi-b760-gaming-plus-wifi-carte-mere-intel-lga-170""}, {""retailer"": ""ldlc.com"", ""price"": ""160"", ""url"": ""https://www.gputracker.eu/si-click/8/3376596/msi-b760-gaming-plus-wifi-ddr4""}]"
MSI MPG Z790 EDGE WIFI ATX LGA1700 Motherboard (MPG Z790 EDGE WIFI),MPG Z790 EDGE WIFI,MSI,https://cdna.pcpartpicker.com/static/forever/images/product/6cd8c884884b6665f368a5eb3149152c.256p.jpg,https://pcpartpicker.com/product/VHddnQ/msi-mpg-z790-edge-wifi-atx-lga1700-motherboard-mpg-z790-edge-wifi,LGA 1700,ATX,"4x DDR5 DIMM, Dual Channel, UDIMM (Non-ECC), max. 256GB (UDIMM)",DDR5,"[{""retailer"": ""computeruniverse.net"", ""price"": ""348"", ""url"": ""https://www.gputracker.eu/si-click/8/3640147/msi-mpg-z790i-edge-wifi-itx-mainboard-sockel-1700-""}, {""retailer"": ""reichelt.de"", ""price"": ""361"", ""url"": ""https://www.gputracker.eu/si-click/8/2006112/msi-7e03-001r-msi-mpg-z790i-edge-wifi-1700""}]"
